"CO_NBM";"NO_NBM"
"4203100000";"VESTUARIO DE COURO NATURAL OU RECONSTITUIDO"
"4203299900";"LUVAS P/OUTS.FINS,DE COURO NATURAL/RECONSTITUIDO"
"4204000200";"CORREIA DE TRANSMISSAO,DE COURO NATURAL/RECONSTITUIDO"
"4206909900";"OUTS.OBRAS DE TRIPA,DE BEXIGA E DE TENDOES"
"4301500000";"PELETERIA INTEIRA DE RATO-ALMISCARADO,EM BRUTO"
"4301900200";"PELETERIA DA CABECA/CAUDA/ETC.DE COELHOS,EM BRUTO"
"4301900400";"PELETERIA DA CABECA/CAUDA/ETC.DE ONCA/ETC.EM BRUTO"
"4302200105";"PELETERIA DA CABECA/ETC.DE OPOSSUM,N/MONTADA,CURTIDA/"
"4302300101";"PELES ""ALONGADAS"",INTEIRAS,MONTADAS,DE BOVINO/OVINO/ETC"
"4302309905";"PELETERIA INTEIRA/PEDACOS,MONTADA,DE OPOSSUM"
"4302309999";"QQ.OUT.PELETERIA INTEIRA/PEDACO,MONTADA,DE OUTS.ANIMAIS"
"4401210000";"MADEIRA CONIFERA,EM ESTILHAS/PARTICULAS"
"4403109901";"MADEIRA DE AROEIRA,BRUTA,TRATADA TINTA/ETC.P/SERRACAO/"
"4403109999";"QQ.OUT.MADEIRA EM BRUTO,TRATADA C/TINTA/ETC.P/SERRACAO/"
"3002101101";"MEDICAMENTO C/PLASMA"
"3002200500";"VACINA CONTRA A MENINGITE"
"3002900399";"QQ.OUT.CULTURA DE MICRORGANISMOS,EXC.TUBERCULINA"
"3003201000";"MEDICAMENTO C/TETRACICLINA"
"3003900401";"MEDICAMENTO C/CICLOPROPANO,P/ANESTESIA GERAL"
"3003900600";"MEDICAMENTO C/ERGOTAMINA/ETC.P/USO OXITOXICO"
"3003909903";"OUTS.MEDICAMENTOS C/EXTRATO DE PLANTA MEDICINAL"
"3004100200";"MEDICAMENTO C/ESTREPTOMICINA/DERIVADOS,EM DOSES"
"3004109900";"OUTS.MEDICAMENTOS C/PENICILINAS,ETC.EM DOSES"
"1403100000";"SORGO P/FABRICACAO DE VASSOURAS"
"1501000101";"BANHA E GORDURA DE PORCO,EM BRUTO,EXC.DE OSSOS/RESIDS"
"1501000202";"GORDURA DE AVES,REFINADA,EXC.DE OSSOS/RESIDUOS"
"1502000403";"SEBOS DE OVINOS,EXTRAIDOS POR MEIO DE SOLVENTES"
"1504100101";"OLEO DE FIGADO DE BACALHAU,EM BRUTO"
"1505900100";"LANOLINA (GORDURA DE LA,PURIFICADA)"
"1511900100";"ESTEARINA DE PALMA"
"1515190000";"OLEO DE LINHACA,REFINADO"
"1516100101";"OLEO DE FIGADO DE PEIXES,HIDROGENADO/INTERESTERIFICADO/"
"1516109900";"OUTS.GORDURAS/OLEOS ANIMAIS,HIDROGENADOS/ETC."
"1518000101";"GORDURA E OLEO DE ALGODAO,COZIDOS/OXIDADOS"
"1518000201";"GORDURA E OLEO DE RICINO,DESIDRATADOS"
"2836930000";"CARBONATO DE BISMUTO"
"2848100000";"FOSFETO DE COBRE,CONTENDO>15% DE FOSFORO"
"2849900500";"BOROCARBONETO DE ALUMINIO"
"2850000199";"QQ.OUT.HIDRETO,EXC.DE SODIO"
"2850000201";"NITRETO DE BORO"
"2851000600";"SULFOCLORETO DE FOSFORO"
"2901220000";"PROPENO (PROPILENO)"
"2901240200";"ISOPRENO"
"2901290500";"BUTINO"
"2901290700";"VINILACETILENO"
"2901299900";"OUTS.HIDROCARBONETOS ACICLICOS,NAO SATURADOS"
"2902190500";"CICLOPENTENO"
"2902191300";"CICLOBUTANO"
"2902199900";"OUTS.HIDROCARBONETOS CICLANICOS/CICLENICOS/CICLOTERPEN."
"2902900400";"TOLANO"
"2902900700";"MESITILENO"
"2902901100";"TRIFENILMETANO"
"2903190300";"PENTACLOROETANO"
"2903220000";"TRICLOROETILENO"
"2903300102";"TETRAFLUORETILENO"
"1211100000";"RAIZES DE ALCACUZ,FRESCAS/SECAS/MESMO CORTADAS/ETC."
"1211900600";"CASCARA SAGRADA,FRESCA/SECA/MESMO CORTADA/TRITURADA/"
"1211901399";"QQ.OUT.SENE FRESCO/SECO,MESMO CORTADO/TRITURADO"
"1211901500";"MENTA (HORTELA-PIMENTA),FRESCA/SECA/MESMO CORTADA/ETC."
"1211901600";"CANHAMO-DA-INDIA (""CANNABIS"")"
"1213000000";"PALHAS E CASCAS DE CEREAIS,EM BRUTO/PICADAS/MOIDAS/ETC"
"1301100000";"GOMA-LACA"
"1301900200";"BALSAMO-DE-COPAIBA"
"1301900400";"CARAIA"
"1401900200";"JUNCO PARA CESTARIA OU ESPARTARIA"
"2846900199";"QQ.OUT.COMPOSTO DE TERRAS RARAS"
"2903400999";"QQ.OUT.BROMOCLOROFLUORMETANO"
"2903401001";"HEPTACLOROFLUORPROPANOS"
"2903510000";"1,2,3,4,5,6-HEXACLOROCICLOEXANO"
"2903590600";"OCTACLORO-TETRAIDRO-4,7-ENDOMETILENOINDANO"
"2903590900";"HEXACLOROEXAIDROENDOENDO-DIMETANONAFTALENO (ISODRIN)"
"2903610100";"CLOROBENZENO"
"2903690100";"BROMOESTIRENO"
"2903690800";"BENZOTRICLORETO"
"2903691900";"BROMOBENZENO (BROMETO FENILICO)"
"2904201001";"TRINITROMETANO"
"2904900102";"ACIDO CLOROBENZENO,MONO E DISSULFONICO"
"2904900204";"3,5-DINITRO-4-CLOROBENZOTRIFLUORETO"
"2904900206";"IODOMONONITROMETANO E IODOTRINITROMETANO"
"2904900210";"M-NITROCLOROBENZENO"
"2904900301";"ACIDO DINITROESTILBENODISSULFONICO"
"2904900303";"ACIDO DI E TRINITROBENZENOSSULFONICO"
"2904900401";"ACIDO 2-CLORO-5-NITROBENZENOSSULFONICO"
"2905140100";"2-METIL-L-PROPANOL (ALCOOL ISOBUTILICO)"
"3105600000";"ADUBO/FERTILANTE MINERAL/QUIMICO C/FOSFORO E POTASSIO"
"3105900100";"NITRATO DE SODIO/POTASSIO,TEOR<=15%NITROG.TEOR<=15%K2O"
"3201200100";"EXTRATOS TANANTES,DE ACACIA-NEGRA"
"3201900100";"OUTS.EXTRATOS TANANTES DE ORIGEM VEGETAL"
"3204140000";"CORANTES DIRETOS E SUAS PREPARACOES"
"3206200200";"PREPAR.DE COMPOSTO DE CROMO"
"3206300200";"PREPAR.DE COMPOSTO DE CADMIO"
"3207209900";"OUTS.COMPOSICOES VITRIFICAVEIS/ENGOBOS/PREPARS.SEMELHS."
"3207300200";"POLIMENTOS LIQUIDOS A BASE DE ZIRCONIO/SEUS SAIS"
"3207409900";"VIDRO EM PO/EM GRANULOS/EM LAMELAS/EM FLOCOS"
"2106901199";"QQ.OUT.PREPARACAO P/BEBIDA,C/XAROPE/EXTRATO DE COCA/ETC"
"2106901399";"QQ.OUT.PREPARACAO P/BEBIDA,C/SUCO DE FRUTAS"
"2106901601";"OUTS.PREPAR.ALIM.P/BEBIDA N/ALCOOL.1 P/10 PARTES REFRIG"
"2201100100";"AGUA MINERAL NATURAL"
"2201100204";"AGUA MINERAL ARTIF/GASEIF.VIDRO RETORN.660ML<CAP<=1.1L"
"2202100302";"REFRIGERANTE C/SUCO FRUTA,VIDRO N/RETORN.260<CAP<=360ML"
"2202100402";"REFRIGERANTE C/SUCO FRUTA,EM PLASTICO,1.6L<CAP<=2.1L"
"2202900299";"QQ.OUT.REFRIGERANTE C/SUCO FRUTA,VIDRO N/RETORNAV>360ML"
"2202900300";"BEBIDAS ALIMENTARES A BASE DE LEITE,CACAU,ETC."
"2202900401";"REFRIGERANTE C/SUCO FRUTA,COPO PLASTICO,CAP<=260ML."
"2921190400";"MECLORETAMINA"
"2921290300";"TRIETILENOTETRAMINA E SEUS SAIS"
"2921420100";"ACIDO AMINOBENZENOSSULFONICO E SEUS SAIS"
"2921420401";"O-NITROANILINA E SEUS SAIS"
"2921420600";"2,6 DIETILANILINA"
"2921430201";"M-NITRO-P-TOLUIDINA E SEUS SAIS"
"2921490600";"ANFETAMINA (ALFA-METILFENETILAMINA)"
"2922129900";"SAIS DE DIETANOLAMINA"
"2922190300";"DIFENIDRAMINA E SEUS SAIS"
"2922190700";"TREO-1-P-NITROFENIL-2-AMINO-1,3-PROPANODIOL"
"2922191800";"BETAMETADOL"
"2922220100";"ANISIDINAS E SEUS SAIS"
"3920100101";"CHAPAS/FLS/ETC.DE POLIETILENO,D>=0.94,RESIST>110KG/CM2"
"3920300199";"QQ.OUT.CHAPA/FOLHA/ETC.DE OUT.POLIESTIRENO,N/ALVEOLAR"
"3920410000";"CHAPAS/FLS/ETC.DE POLIMEROS DE CLORETO VINILA,RIGIDAS"
"3920510100";"CHAPAS/FLS/ETC.DE POLIMETACRILATO METILA,P/AERONAUTICA"
"3920699900";"CHAPAS/FLS/ETC.DE OUTS.POLIESTERES,N/ALVEOLARES"
"3921120000";"CHAPAS/FLS/ETC.DE POLIMER.DE CLORETO VINILA,ALVEOLARES"
"3921900400";"OUTS.CHAPAS/FLS/ETC.DE FIBRA VULCANIZADA,N/ALVEOLARES"
"3923210300";"CONTEINER FLEXIVEL (SACO),DE POLIMEROS DE ETILENO"
"4804490000";"OUTS.PAPEIS/CARTOES KRAFTS,EM ROLO/FOLHAS,150<P<225G/M2"
"4805300000";"PAPEL SULFITE P/EMBALAGEM,N/REVESTIDO,EM ROLO/FOLHAS"
"4807910000";"PAPEL-PALHA/CARTAO-PALHA,RECOBERTO C/OUTS.PAPEIS"
"4808900000";"OUTS.PAPEIS/CARTOES ONDULADOS/ENCRESPADOS/PISSADOS/ETC."
"4810110100";"PAPEL/CARTAO COLORIDO/ETC.FIBRA<=10%PROC.MEC.P<=150G/M2"
"4810110201";"PAPEL CUCHE P/IMPRIM.LIVRO/ETC.FIBRA<=10%PM,P<=150G/M2"
"4810120299";"QQ.OUT.PAPEL/CARTAO,CUCHE,FIBRA<=10%PROC.MEC.P>150G/M2"
"4810290200";"PAPEL/CARTAO CUCHE,C/FIBRA OBT.PROC.MECANICO"
"4810290300";"PAPEL/CARTAO,METALIZ.P/IMPRIM/ESCREVER,FIBRA>10%P.MECAN"
"4810320000";"PAPEL/CARTAO,KRAFT,BRANQ.FIBRA>95%PROC.QUIM.P>150G/M2"
"4810919900";"OUTS.PAPEIS/CARTOES,DE CAMADA MULTIPLA,REVEST.C/CAULIM"
"4811900101";"PAPEL/CARTAO,ABSORVENTE,COLORIDO/ETC.ROLOS,35<P<180G/M2"
"2915400299";"QQ.OUT.SAL DE ACIDO CLOROACETICO"
"2915600301";"ISOBUTIRATO DE ISOBUTILA"
"2915600399";"QQ.OUT.ESTER DE ACIDO BUTIRICO"
"2915700200";"ACIDO ESTEARICO (ACIDO MONOCARBOXIL.ACICLICO SATURADO)"
"2915900100";"MONOIODOESTEARATO DE ETILA"
"2915900500";"ANIDRIDO PROPIONICO"
"2916120400";"ACRILATO DE 2-ETILEXILA"
"2916149900";"OUTS.ESTERES DE ACIDO METACRILICO"
"2916200499";"QQ.OUT.SAL/ESTER DE ACIDO CHAULMUGRICO"
"2916310100";"ACIDO BENZOICO"
"2916310399";"QQ.OUT.SAL DE ACIDO BENZOICO"
"2916330300";"ESTER DO ACIDO FENILACETICO"
"2916390600";"CLORETO DE NITROBENZOILA"
"2917110200";"SAIS DE ACIDO OXALICO"
"2917129900";"SAIS/ESTER DE ACIDO ADIPICO"
"2917190199";"QQ.OUT.SAL/ESTER DE ACIDO MALEICO"
"2917310000";"ORTOFTALATO DE DIBUTILA"
"3815119900";"OUTS.CATALISADORES EM SUPORTE,C/NIQUEL/COMPOSTO NIQUEL"
"3815190100";"CATALISADORES EM SUPORTE,C/COBRE/COMPOSTO DE COBRE"
"3817100200";"ALQUILBENZENO LINEAR (LAB)"
"3823209900";"SAIS DE ACIDO NAFTENICO INSOLUV.EM AGUA,E SEUS ESTERES"
"3823300000";"CARBONETO METALICO,N/AGLOMERADO,MISTURADO/ETC."
"3823900601";"PREPAR.ENOLOGICA C/SUBSTANCIA ALBUMINOSA/GELATINA"
"3823909917";"PRODS.OBTIDOS NO DECURSO DA FABR.DE ANTIBIOTICO"
"3823909918";"MICRONUTRIENTE"
"3901109901";"POLIETILENO DENS< 0,94,S/CARGA,FORMA PRIMARIA"
"3901309900";"COPOLIMERO DE ETILENO/ACETATO VINILA,EM OUT.FORMA"
"3901900000";"OUTS.POLIMEROS DE ETILENO,EM FORMA PRIMARIA"
"3903110200";"POLIESTIRENO EXPANSIVEL,C/CARGA,EM FORMA PRIMARIA"
"3904400000";"OUTS.COPOLIMEROS DE CLORETO VINILA,EM FORMA PRIMARIA"
"0507900299";"QQ.OUT.BARBA DE MAMIFEROS MARINHOS,EM BRUTO/PREPARADA"
"0510000500";"PULMOES DE ANIMAIS,P/PREPAR.DE PRODS.FARMACEUTICOS"
"0511990500";"ASAS DE BORBOLETAS"
"0511990800";"CAVALOS/BOVINOS/SUINOS/CAPRINOS/OVINOS/AVES/ETC.MORTOS"
"0601109900";"OUTS.BULBOS/TUBERCULOS/RAIZES/ETC.EM REPOUSO VEGETATIVO"
"0602300000";"RODODENDROS E AZALEIAS,ENXERTADOS OU NAO"
"0603100200";"GLADIOLOS/BOTOES,FRESCOS,CORTADOS P/BUQUES/ORNAMENTACAO"
"0702000000";"TOMATES FRESCOS OU REFRIGERADOS"
"0703909900";"OUTS.PRODS.HORTICOLAS ALIACEOS,FRESCOS/REFRIGERADOS"
"0706100000";"CENOURAS E NABOS,FRESCOS/REFRIGERADOS"
"0709300000";"BERINJELAS FRESCAS OU REFRIGERADAS"
"0710900000";"MISTURA DE PRODS.HORTICOLAS,CONGELADOS"
"2008190299";"QQ.OUT.CASTANHA-DE-CAJU,PREPARADA/ETC.DE OUT.MODO"
"2008190301";"PISTACIO TORRADO"
"2008199901";"OUTS.FRUTAS DE CASCA RIJA,COZIDAS EXC.EM AGUA/VAPOR"
"2008199999";"QQ.OUT.FRUTA DE CASCA RIJA,PREPARADA/ETC.DE OUT.MODO"
"2008300100";"CITRICOS COZIDOS EXCETO EM AGUA OU VAPOR"
"2008400100";"PERAS COZIDAS EXCETO EM AGUA OU VAPOR"
"8414609900";"COIFAS (EXAUSTOR),DIM.HORIZONT.POT<=120CM,P/OUT.USO"
"8414800102";"COMPRESSOR DE AR,DESLOC.ALTERN.PORTATIL,DE PISTAO"
"8414800404";"COMPRESSOR DE GAS,CENTRIFUGO"
"8427209900";"OUTS.VEICULOS P/MOVIM.CARGA,AUTOPROPULSOR,S/MOTOR ELETR"
"8428330000";"APARS.ELEVADORES,DE ACAO CONTINUA,N/SUBTERR.DE CORREIA"
"8428900000";"OUTS.MAQUINAS/APARELHOS,DE ELEVACAO DE CARGA/DESCARGA/"
"8429110000";"""BULLDOZERS"" E ""ANGLEDOZERS"",DE LAGARTAS"
"8429510100";"CARREGADORAS-TRANSPORTADORAS,DE CARREGAMENTO FRONTAL"
"8430610000";"MAQUINAS DE COMPRIMIR/COMPACTAR,EXC.AUTOPROPULSORAS"
"8431200201";"PARTES DE VEICULO P/MOVIMENTACAO DE CARGA,AUTOPROPULSOR"
"8431310000";"PARTES DE ELEVADORES/MONTA-CARGAS/ESCADAS-ROLANTES/ETC."
"8703240700";"AUTOMOVEIS DE CORRIDA,C/MOTOR,IGNICAO P/FAISCA,CIL>3DM3"
"8703240899";"QQ.OUT.VEICULO DE USO MISTO,CIL>3000CM3"
"8703310100";"AUTOMOVEIS DE PASSAG.C/MOTOR,IGN.P/COMPRESS.CIL<=1.5DM3"
"8703320200";"AMBULANCIA C/MOTOR,IGNICAO P/COMPRESSAO,1.5<CIL<=2.5DM3"
"8703330200";"AMBULANCIA C/MOTOR,IGNICAO POR COMPRESSAO,CIL>2.5DM3"
"8703330400";"JIPES C/MOTOR,IGNICAO POR COMPRESSAO,CIL>2.5DM3"
"5503100200";"FIBRAS DE ARAMIDA,NAO CARDADAS,NAO PENTEADAS,ETC."
"5503900000";"OUTS.FIBRAS TEXT.SINTET.DESCONT.N/CARDADAS,N/PENTEADAS"
"5506100000";"FIBRAS DE NAILON/OUT.POLIAMIDA,CARDADAS/PENTEADAS"
"5509120000";"FIOS DE FIBRA DE NAILON,OUTS.POLIAMIDAS(>=85%),RETORCID"
"5509120200";"FIOS DE FIBRAS DE ARAMIDA(>=85%),RETORCIDOS"
"5509920100";"FIO DE FIBRA SINTET.C/ALGODAO,CRU/ALVEJADO/BRANQUEADO"
"7214200200";"BARRA DE FERRO/ACO,DENTADA A QUENTE,0.25%<=CARBONO<0.6%"
"7215100200";"BARRA DE ACO P/TORNEAR,OBTIDA A FRIO,SEC.HEXAGONAL"
"8517819900";"OUTS.APARELHOS P/TELEFONIA,ELETRICOS"
"8518300100";"FONES DE OUVIDO P/APARELHOS DE TELEFONIA/TELEGRAFIA"
"8520100000";"MAQUINAS DE DITAR,P/FUNCIONAR C/ENERGIA ELETRICA"
"8520900199";"QQ.OUT.APAR.DE GRAVACAO DO SOM,S/DISPOSIT.DE REPROD.SOM"
"8521900000";"APARELHOS VIDEOFONICOS DE GRAVACAO/REPRODUCAO"
"8522909901";"AGULHAS/ETC.DE GRAVACAO/REPROD.SOM,C/PONTA PEDRA PREC."
"8522909999";"QQ.OUT.PARTE/ACESS.DE APARS.P/GRAVACAO/REPROD.DO SOM"
"8523120000";"FITA MAGNETICA,L> 4MM,P/GRAVACAO SOM/ETC.N/GRAVADA"
"8523200102";"DISCOS MAGNETICOS,EM CARTUCHO,N/GRAVADOS,P/COMPUTADOR"
"8524219900";"FITA MAGNETICA,L<=4MM,GRAVADA,EXC.EM CASSETE/CARTUCHO"
"8524230101";"FITA MAGNET.L>6.5MM,GRAVADA C/MATER.DIDATICA,CASSETE/"
"8524230200";"FITA MAGNETICA,L>6.5MM,GRAVADA,EXC.EM CASSETE/CARTUCHO/"
"8524230300";"FITA MAGNETICA,L>6.5MM,GRAVADA,P/VIDEO TAPE"
"9503500000";"INSTRUMS/APARS.MUSICAIS,DE BRINQUEDO"
"3401110101";"PAPEL/PASTAS,DE TOUCADOR,IMPREGN/REVEST/ETC.C/SABAO"
"3401110202";"OUTS.PAPEIS/PASTAS,DE TOUCADOR IMPREGN/ETC.C/DETERGENTE"
"3402110000";"AGENTE ORGANICO DE SUPERFICIE,ANIONICO"
"3403110000";"PREPAR.P/TRATAM.DE MATERIA TEXTIL,C/OLEO PETROLEO/ETC."
"3404900200";"CERAS PREPARADAS"
"3407000200";"OUTS.COMPOSICOES P/DENTISTAS,A BASE DE GESSO"
"3503000299";"QQ.OUT.GELATINA P/INDUSTRIA FARMACEUTICA,EXC.DE OSSOS"
"3505100100";"DEXTRINA"
"3505100200";"AMIDOS E FECULAS ETERIFICADOS OU ESTERIFICADOS"
"3506990101";"COLAS PREPARADAS MINERAIS,DE SILICATOS"
"3507900104";"DIASTASE"
"3507900200";"ENZIMAS PREPARADAS"
"3601000000";"POLVORAS PROPULSIVAS"
"0000600000";"MERCADORIAS EXPORTADAS OU IMPORTADAS TEMPORARIAMENTE"
"0000700000";"DOACOES"
"0000710030";"JOALHERIA DE OURO DO CAPITULO 71 DA NBM-SH"
"0102100100";"BOVINOS REPRODUTORES DE RACA PURA"
"0102900199";"QUALQUER OUTRO BOVINO VIVO"
"0102900200";"OUTROS BUFALOS VIVOS"
"0201200000";"OUTRAS PECAS DE BOVINO,NAO DESSOSSADAS,FRESCAS/REFRIGER"
"0201200300";"COSTELA DE BOVINO,NAO DESOSSADA,FRESCA OU REFRIGERADA"
"0201300403";"MAMINHA DE ALCATRA,DE BOVINO,DESOSSADA,FRESCA OU REFRIG"
"0201301000";"PATINHO DE BOVINO,DESOSSADO,FRESCO OU REFRIGERADO"
"0202300401";"CORACAO DE ALCATRA,DE BOVINO,DESOSSADO,CONGELADO"
"0202300500";"CONTRAFILE DE BOVINO,DESOSSADO,CONGELADO"
"0203110000";"CARCACA E MEIA-CARCACA,DE SUINO,FRESCA OU REFRIGERADA"
"0203120000";"PERNAS E PAS,DE SUINO,NAO DESOSSADAS,FRESCAS OU REFRIG."
"0203290000";"OUTRAS CARNES DE SUINO,CONGELADAS"
"2516120000";"GRANITO EM BLOCOS/PLACAS QUADRADAS/RETANGULARES"
"2517109900";"OUTS.CASCALHOS/PEDRAS P/CONCRETO/ETC.DE VIAS FERREAS/"
"2518100000";"DOLOMITA ""CRUA"",N/CALCINADA NEM SINTERIZADA"
"2518300000";"DOLOMITA EM AGLOMERADOS"
"2519100000";"CARBONATO DE MAGNESIO NATURAL (MAGNESITA)"
"2520200100";"GESSO C/ACELERADOR/RETARDADOR,P/PROTESE DENTARIA"
"2523300000";"CIMENTO ALUMINOSO"
"2524000100";"AMIANTO (ARBESTO),EM FIBRAS"
"2526100200";"ESTEATITA,TALCO,NAO TRITURADO NEM EM PO"
"2527000000";"CRIOLITA NATURAL E QUIOLITA NATURAL"
"2528900100";"BORATO DE CALCIO,NATURAL"
"2530200000";"KIESERITA,EPSOMITA (SULFATO DE MAGNESIO NATURAL)"
"2530900100";"CELESTITA"
"2530900900";"MINERIOS DE METAL DE TERRAS RARAS,EXC.MONAZITA"
"2602000102";"MINERIOS DE MANGANES,OXIDADOS,N/AGLOMERADOS"
"2606000101";"BAUXITA METALURGICA,CALCINADA"
"2610009900";"OUTS.MINERIOS DE CROMO E SEUS CONCENTRADOS"
"2612100000";"MINERIOS DE URANIO E SEUS CONCENTRADOS"
"2613900100";"MOLIBDENITA N/USTULADA - MINERIO DE MOLIBDENIO"
"2933393000";"ALFAMEPRODINA"
"2933394200";"CETOBEMIDONA"
"2933394400";"LEVOFENACILMORFANO"
"2933394899";"QQ.OUT.INTERMEDIARIO DA PETIDINA"
"2933394900";"FENAMPROMIDA"
"2933395100";"FENOPERIDINA"
"2933395600";"RACEMETORFANO"
"2933400500";"OXAMINIQUINA"
